COD_DANE,Total_Viviendas,Casas,Casas_indigenas,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,GasNatural_SI,GasNatur_NO,Alcantarillado_SI,Alcantarillado_NO,Acueducto_SI,Acueducto_NO,Total_Hogares,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguna_Educacion,No_responde
7300110000000000580310,15,10,,4,1,15,0,11,3,15,0,15,0,18,54,26,28,0,17,12,0,3,22
7300110000000000580514,22,22,,0,0,22,0,18,4,22,0,22,0,22,91,38,53,2,22,23,0,4,40
7300110000000000330305,27,23,,4,0,27,0,21,6,27,0,27,0,31,116,59,57,8,30,27,2,5,44
7300110000000000320704,38,22,,13,3,38,0,24,13,38,0,38,0,42,140,64,76,0,42,33,0,7,58
7300110000000000530107,27,23,,4,0,26,0,22,4,26,0,26,0,29,112,52,60,5,27,25,0,3,52
7300110000000000140409,16,9,,7,0,16,0,11,5,16,0,16,0,17,48,20,28,0,13,11,0,1,23
7300110000000000590412,38,7,,28,3,37,0,24,13,37,0,37,0,37,116,57,59,3,24,28,1,9,51
7300110000000000330821,47,20,,19,8,46,0,39,7,46,0,46,0,46,165,65,100,4,43,34,2,5,77
7300110000000000590215,68,66,,2,0,67,0,66,1,67,0,67,0,124,321,156,165,2,67,11,0,1,240
7300110000000000580320,20,19,,1,0,19,0,16,3,19,0,19,0,19,80,39,41,3,25,17,0,5,30
7300110000000000140307,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000590205,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000130422,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560722,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560824,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
