COD_DANE_A,VERSION,AREA,Casa_indigena,Total_Viviendas,Casa,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,Acueducto_SI,Acueducto_NO,Alcantarillado_SI,Alcantarillado_NO,GasNatural_SI,GasNatural_SI,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguno,Ninguno,No_responde
7300110000000000330923,2018,1772.140704,0,25,25,0,0,48,0,24,0,24,0,24,0,81,40,41,0,0,20,0,2,1,58
7300110000000000330924,2018,1968.652959,0,32,24,7,1,64,0,32,0,32,0,32,0,97,42,55,30,0,13,0,1,0,83
7300110000000000330925,2018,2286.715710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000330926,2018,3034.875189,0,44,1,43,0,76,0,38,0,38,0,37,0,108,51,57,14,44,39,0,2,3,20
7300110000000000330935,2018,16200.906222,0,214,83,131,0,384,0,192,0,192,0,188,1,580,279,301,92,239,168,0,9,18,146
7300110000000000330936,2018,6930.646127,0,71,14,57,0,124,0,62,0,62,0,60,1,184,84,100,39,61,54,0,6,0,63
7300110000000000330937,2018,2756.468554,0,55,44,9,2,102,0,51,0,51,0,49,2,168,84,84,24,0,51,0,7,3,107
7300110000000000330939,2018,2675.663042,0,50,38,11,1,90,0,45,0,45,0,43,1,170,77,93,32,0,42,0,2,4,122
7300110000000000330940,2018,22031.595953,0,26,21,5,0,44,0,22,0,22,0,20,2,76,37,39,0,0,27,0,1,1,47
7300110000000000331101,2018,4098.035399,0,34,32,2,0,68,1,34,0,34,0,34,0,107,47,60,0,47,37,0,0,2,21
7300110000000000331102,2018,1986.140191,0,42,2,39,1,76,0,38,0,38,0,38,0,100,42,58,9,0,46,10,2,1,41
7300110000000000331103,2018,2831.874927,0,31,22,9,0,54,0,27,0,27,0,27,0,82,40,42,7,0,32,0,1,1,48
7300110000000000331104,2018,2644.801033,0,26,21,4,1,52,0,26,0,26,0,25,1,77,34,43,9,42,21,0,0,0,14
7300110000000000331105,2018,1900.172705,0,22,16,6,0,42,0,21,0,21,0,21,0,61,25,36,5,0,0,11,1,0,49
7300110000000000331106,2018,3859.678603,0,36,33,3,0,64,0,32,0,32,0,32,0,97,45,52,10,27,50,0,1,0,19
7300110000000000331107,2018,1699.327513,0,26,26,0,0,50,0,25,0,25,0,25,0,77,39,38,6,0,30,0,1,2,44
7300110000000000331108,2018,1623.841479,0,27,26,1,0,54,0,27,0,27,0,27,0,95,48,47,0,0,37,0,1,2,55
7300110000000000331109,2018,1055.603320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000331110,2018,2864.125636,0,31,25,6,0,54,0,27,0,27,0,27,0,70,25,45,0,0,34,0,1,1,34
7300110000000000331111,2018,2772.411920,0,32,24,8,0,64,0,32,0,32,0,28,3,100,55,45,0,0,31,0,1,9,59
7300110000000000331112,2018,2062.515838,0,17,16,1,0,34,0,17,0,17,0,17,0,53,25,28,0,0,18,10,0,0,25
7300110000000000331113,2018,1647.539157,0,31,27,3,1,60,0,30,0,30,0,30,0,75,35,40,0,0,38,0,1,0,36
7300110000000000331114,2018,3979.956430,0,32,20,12,0,62,0,31,0,31,0,31,0,102,39,63,0,39,29,0,3,3,28
7300110000000000331115,2018,2993.091192,0,38,36,2,0,68,0,34,0,34,0,34,0,100,43,57,18,0,39,0,1,1,59
7300110000000000331120,2018,6617.373508,0,79,74,5,0,142,0,71,0,71,0,68,2,199,78,121,24,67,81,0,3,5,43
7300110000000000331121,2018,2952.340658,0,30,26,4,0,58,0,29,0,29,0,29,0,99,43,56,11,29,39,0,2,1,28
7300110000000000331122,2018,2061.180665,0,21,21,0,0,38,0,19,0,19,0,19,0,63,30,33,0,0,30,0,2,1,30
7300110000000000331124,2018,2650.905799,0,23,23,0,0,40,0,20,0,20,0,20,0,63,29,34,13,0,22,0,0,1,40
7300110000000000331125,2018,4931.052174,0,66,49,17,0,100,0,50,0,50,0,49,0,131,59,72,21,0,56,0,0,2,73
7300110000000000331126,2018,1891.397992,0,32,18,14,0,56,0,28,0,28,0,26,2,96,46,50,0,0,24,0,0,0,72
