COD_DANE;VERSION;AREA;Total_Viviendas;Casa;Apartamento;Tipo_Cuarto;Electrica_SI;Electrica_NO;GasNatural_SI;GasNatural_NO;Alcantarillado_SI;Alcantarillado_NO;Acueducto_SI;Acueducto_NO;Total_Personas;HOMBRE;MUJER;Preescolar;Primaria;Secundaria;Especializacion;Ninguna_Educacion;No_responde;Ninguno;Ninguno
7300110000000000140411;2018;1109.536350;25;13;12;0;38;1;19;0;19;0;19;0;48;20;28;0;0;10;0;2;36;1;1
7300110000000000140412;2018;1118.440907;21;7;14;0;28;0;13;0;14;0;14;0;36;16;20;12;0;10;0;0;26;0;0
7300110000000000140414;2018;759.947398;10;8;2;0;14;0;7;0;7;0;7;0;19;6;13;0;0;7;0;0;12;0;0
7300110000000000140424;2018;1270.726557;28;8;20;0;52;0;26;0;26;0;26;0;76;32;44;18;38;13;0;0;25;0;0
7300110000000000140428;2018;523.582043;5;4;1;0;10;0;5;0;5;0;5;0;20;10;10;4;0;0;0;0;20;0;0
7300110000000000140429;2018;1118.620960;19;15;4;0;34;0;17;0;17;0;17;0;55;20;35;0;0;14;0;1;40;0;1
7300110000000000140916;2018;4174.346503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000320503;2018;5471.195129;33;25;7;1;62;0;29;2;31;0;31;0;99;41;58;0;34;35;0;4;26;1;3
7300110000000000320504;2018;3534.502277;22;18;4;0;44;0;22;0;22;0;22;0;73;35;38;0;0;17;0;5;51;2;3
7300110000000000320505;2018;3563.706340;29;23;5;1;52;0;26;0;26;0;26;0;74;32;42;0;22;37;0;1;14;1;0
7300110000000000320506;2018;3612.336449;49;23;26;0;90;0;44;1;45;0;45;0;141;71;70;0;0;47;0;4;90;1;3
7300110000000000320507;2018;1439.682893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000320508;2018;1438.872484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000320513;2018;5533.205822;86;66;19;1;157;0;75;3;79;0;78;1;215;101;114;35;68;63;27;17;40;7;10
7300110000000000320514;2018;3521.894181;36;31;5;0;70;0;35;0;35;0;35;0;123;57;66;18;0;42;0;5;76;1;4
7300110000000000320610;2018;3563.059045;30;27;3;0;60;0;30;0;30;0;30;0;106;52;54;24;47;28;0;3;28;3;0
7300110000000000320611;2018;3559.565466;33;20;13;0;62;0;29;2;31;0;31;0;93;43;50;12;0;31;0;1;61;1;0
7300110000000000320612;2018;3567.150959;81;54;25;2;148;0;72;0;74;0;74;0;253;106;147;59;102;62;0;10;79;3;7
7300110000000000320614;2018;2693.299183;34;21;11;2;60;0;30;0;30;0;30;0;93;38;55;0;0;28;0;0;65;0;0
7300110000000000320701;2018;5399.734538;51;36;15;0;96;0;48;0;48;0;48;0;140;64;76;25;0;52;0;1;87;1;0
7300110000000000320702;2018;3547.114485;34;22;12;0;62;0;31;0;30;1;31;0;106;48;58;0;43;18;0;7;38;7;0
7300110000000000320703;2018;3663.412264;22;20;2;0;44;0;22;0;22;0;22;0;73;28;45;16;30;0;0;3;40;3;0
7300110000000000320704;2018;3749.546719;44;31;13;0;84;0;42;0;42;0;42;0;125;60;65;25;52;38;0;1;34;0;1
7300110000000000320705;2018;1596.393629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000320707;2018;3561.884187;35;27;7;1;64;0;32;0;32;0;32;0;116;63;53;26;0;36;0;3;77;2;1
7300110000000000320708;2018;4353.087938;52;39;12;1;84;0;36;6;42;0;42;0;149;63;86;57;0;0;0;1;148;1;0
7300110000000000320709;2018;2962.281786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000320710;2018;3563.980956;42;26;16;0;62;0;29;0;31;0;31;0;115;48;67;0;0;33;6;3;73;2;1
7300110000000000320711;2018;3526.100065;35;20;15;0;70;0;34;1;35;0;35;0;106;48;58;32;0;30;0;0;76;0;0
7300110000000000320712;2018;3610.186947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000320714;2018;20892.147313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000320715;2018;1732.112965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000330101;2018;5959.428848;69;46;20;3;126;1;62;1;61;2;63;0;198;88;110;37;82;65;0;7;44;3;4
7300110000000000330102;2018;2923.803471;48;21;27;0;88;0;44;0;44;0;44;0;124;58;66;0;0;44;0;3;77;2;1
7300110000000000330103;2018;2991.426755;34;32;2;0;64;0;32;0;32;0;32;0;98;44;54;12;0;43;0;1;54;1;0
7300110000000000330104;2018;2883.652494;29;26;3;0;58;0;29;0;29;0;29;0;98;49;49;11;0;38;7;1;52;0;1
7300110000000000330105;2018;2886.892523;50;50;0;0;80;0;38;2;40;0;40;0;101;42;59;0;30;52;0;0;19;0;0
7300110000000000330106;2018;2798.509257;31;29;2;0;53;0;27;0;27;0;27;0;77;35;42;7;0;35;0;3;39;1;2
7300110000000000330107;2018;3196.797472;73;27;46;0;128;0;64;0;63;1;64;0;209;99;110;32;0;71;0;1;137;1;0
7300110000000000330109;2018;3429.190190;61;15;44;2;122;0;61;0;61;0;61;0;202;91;111;32;0;77;0;6;119;6;0
7300110000000000330111;2018;2680.843572;36;35;1;0;60;0;30;0;30;0;30;0;96;49;47;14;0;24;0;1;71;1;0
7300110000000000330114;2018;3328.269457;63;11;51;1;102;0;51;0;51;0;51;0;160;76;84;26;0;54;0;5;101;3;2
7300110000000000330115;2018;3387.685688;43;38;4;1;78;0;39;0;39;0;39;0;140;66;74;18;0;54;0;2;84;2;0
7300110000000000330116;2018;5598.855919;97;61;33;3;142;0;70;1;71;0;71;0;201;92;109;44;0;64;0;7;130;2;5
7300110000000000330117;2018;3485.830566;61;49;12;0;108;0;53;0;54;0;54;0;140;67;73;20;0;50;7;8;75;4;4
7300110000000000330118;2018;1840.646717;39;9;20;10;72;0;34;2;36;0;36;0;97;43;54;38;0;11;0;2;84;2;0
7300110000000000330119;2018;2729.496962;50;28;21;1;92;0;46;0;46;0;46;0;144;69;75;40;0;29;0;10;105;2;8
